State/UTs,Urban ,Rural,Total
Andhra Pradesh,1724,5861,7585
Arunachal Pradesh,107,43,150
Assam,1283,1610,2893
Bihar,1883,5178,7061
Chhattisgarh,909,4073,4982
Goa,53,165,218
Gujarat,1967,4858,6825
Haryana,1810,2593,4403
Himachal Pradesh,85,786,871
Jharkhand,983,2238,3221
Karnataka,2528,6930,9458
Kerala,857,2405,3262
Madhya Pradesh,3145,7661,10806
Maharashtra,3486,9068,12554
Manipur,27,72,99
Meghalaya,35,115,150
Mizoram,16,32,48
Nagaland,45,11,56
Orissa,1452,3304,4756
Punjab,1636,2614,4250
Rajasthan,2284,6771,9055
Sikkim,17,23,40
Tamil Nadu,3747,11000,14747
Telangana,2726,4354,7080
Tripura,47,134,181
Uttarakhand,316,426,742
Uttar Pradesh,7792,11234,19026
West Bengal,1390,4015,5405
Andaman and Nicobar Islands,11,8,19
Chandigarh,90,4,94
Dadra and Nagar Haveli,13,58,71
Daman and Diu,NA,NA,0
Delhi,1146,60,1206
Jammu and Kashmir,162,480,642
Ladakh,20,28,48
Lakshadweep,0,1,1
Puducherry,59,99,158
Total,43851,98312,142163
